FASTQ,CT
LIB052276_GEN00217110_S28_L002_R2.fastq,T cell
LIB052276_GEN00217111_S29_L002_R1.fastq,T cell
LIB052276_GEN00217111_S29_L002_R2.fastq,T cell
LIB052276_GEN00217112_S30_L002_R1.fastq,T cell
LIB052276_GEN00217112_S30_L002_R2.fastq,T cell
LIB052276_GEN00217113_S31_L002_R1.fastq,Astrocyte
LIB052276_GEN00217113_S31_L002_R2.fastq,Astrocyte
LIB052276_GEN00217114_S32_L002_R1.fastq,Astrocyte
LIB052276_GEN00217114_S32_L002_R2.fastq,Astrocyte
LIB052276_GEN00217115_S33_L002_R1.fastq,Astrocyte
LIB052276_GEN00217115_S33_L002_R2.fastq,Astrocyte
LIB052276_GEN00217116_S34_L002_R1.fastq,Astrocyte
LIB052276_GEN00217116_S34_L002_R2.fastq,Astrocyte
LIB052276_GEN00217117_S35_L002_R1.fastq,Astrocyte
LIB052276_GEN00217117_S35_L002_R2.fastq,Astrocyte
LIB052276_GEN00217118_S36_L002_R1.fastq,Astrocyte
LIB052276_GEN00217118_S36_L002_R2.fastq,Astrocyte
LIB052276_GEN00217119_S37_L002_R1.fastq,Astrocyte
LIB052276_GEN00217119_S37_L002_R2.fastq,Astrocyte
LIB052276_GEN00217120_S38_L002_R1.fastq,Astrocyte
LIB052276_GEN00217120_S38_L002_R2.fastq,Astrocyte
LIB052276_GEN00217121_S39_L002_R1.fastq,MG
LIB052276_GEN00217121_S39_L002_R2.fastq,MG
LIB052276_GEN00217122_S40_L002_R1.fastq,MG
LIB052276_GEN00217122_S40_L002_R2.fastq,MG
LIB052276_GEN00217123_S41_L002_R1.fastq,MG
LIB052276_GEN00217123_S41_L002_R2.fastq,MG
LIB052276_GEN00217124_S42_L002_R1.fastq,MG
LIB052276_GEN00217124_S42_L002_R2.fastq,MG
LIB052276_GEN00217125_S43_L002_R1.fastq,MG
LIB052276_GEN00217125_S43_L002_R2.fastq,MG
